Seed,Explainer,Lambda_1,Lambda_2,Topk,Baseline,Accuracy,Comprehensiveness,Cross Entropy,Sufficiency
42,augmented_occlusion,1.0,1.0,0.2,Average,0.989±0.001,0.000±0.001,0.098±0.005,0.002±0.002
42,deep_lift,1.0,1.0,0.2,Average,0.988±0.002,-0.000±0.001,0.097±0.006,0.003±0.001
42,dyna_mask,1.0,1.0,0.2,Average,0.990±0.001,0.000±0.001,0.097±0.005,0.003±0.001
42,extremal_mask,1.0,1.0,0.2,Average,0.981±0.004,0.015±0.004,0.118±0.008,-0.012±0.004
42,gradient_shap,1.0,1.0,0.2,Average,0.987±0.004,-0.002±0.001,0.095±0.006,0.004±0.001
42,integrated_gradients,1.0,1.0,0.2,Average,0.988±0.003,0.000±0.002,0.098±0.006,0.002±0.001
42,lime,1.0,1.0,0.2,Average,0.996±0.001,-0.001±0.001,0.094±0.005,0.003±0.001
42,occlusion,1.0,1.0,0.2,Average,0.988±0.001,-0.002±0.001,0.095±0.005,0.005±0.001
42,retain,1.0,1.0,0.2,Average,0.989±0.001,-0.004±0.001,0.093±0.005,0.008±0.001
