Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,4,Average,0.2,dyna_mask,1.0,1.0,0.98929995,0.005293,0.1094,-0.0077380002,0.001449
42,4,Average,0.3,dyna_mask,1.0,1.0,0.9876,0.005465,0.1099,-0.008253,0.001451
42,4,Average,0.4,dyna_mask,1.0,1.0,0.98719996,0.005534,0.1104,-0.008754,0.001229
42,4,Average,0.5,dyna_mask,1.0,1.0,0.9856,0.005877,0.1115,-0.009784,0.001202
42,4,Average,0.6,dyna_mask,1.0,1.0,0.9854,0.005932,0.1117,-0.01002,0.001159
42,4,Zeros,0.1,dyna_mask,1.0,1.0,0.9717,0.02099,0.139,-0.03735,0.002177
42,4,Zeros,0.2,dyna_mask,1.0,1.0,0.9685,0.01732,0.1439,-0.04222,0.008547
42,4,Zeros,0.3,dyna_mask,1.0,1.0,0.9669,0.0147,0.147,-0.04536,0.01271
42,4,Zeros,0.4,dyna_mask,1.0,1.0,0.9506,0.03465,0.1768,-0.0751,0.01542
42,4,Zeros,0.5,dyna_mask,1.0,1.0,0.9535,0.03456,0.1864,-0.08475,0.01812
42,4,Zeros,0.6,dyna_mask,1.0,1.0,0.958,0.031199997,0.1828,-0.08114,0.01862
42,4,Average,0.1,augmented_occlusion,1.0,1.0,0.9876,0.0003685,0.1046,-0.002898,0.00509
42,4,Average,0.2,augmented_occlusion,1.0,1.0,0.9846,0.001789,0.1074,-0.005675,0.003497
42,4,Average,0.3,augmented_occlusion,1.0,1.0,0.985,0.003093,0.1094,-0.00774,0.002319
42,4,Average,0.4,augmented_occlusion,1.0,1.0,0.983,0.00376,0.1106,-0.008962,0.001752
42,4,Average,0.5,augmented_occlusion,1.0,1.0,0.9817,0.00407,0.1114,-0.009754,0.001432
42,4,Average,0.6,augmented_occlusion,1.0,1.0,0.9813,0.00455,0.1126,-0.0109,0.001213
42,4,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9661,0.0156,0.1408,-0.03916,0.003033
42,4,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9611,0.01444,0.15,-0.04834,-6.24e-05
42,4,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9606,0.01191,0.1552,-0.05351,-0.001971
42,4,Zeros,0.4,augmented_occlusion,1.0,1.0,0.9595,0.01009,0.1595,-0.0578,-0.002368
42,4,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9593,0.007349,0.163,-0.06127,-0.002238
42,4,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9593,0.003683,0.1644,-0.06269,-0.001636
42,0,Average,0.1,deep_lift,1.0,1.0,0.98780006,-0.00090220006,0.09996999,-0.001945,0.0016369999
42,0,Average,0.2,deep_lift,1.0,1.0,0.9847999,-0.001381,0.10030001,-0.002319,0.001988
42,0,Average,0.3,deep_lift,1.0,1.0,0.9826001,-0.0015200002,0.1009,-0.002883,0.00199775
42,0,Average,0.4,deep_lift,1.0,1.0,0.9829999,-0.0015599999,0.10109998,-0.0030349998,0.0019930003
42,0,Average,0.5,deep_lift,1.0,1.0,0.9839,-0.0013220002,0.10140001,-0.0034059999,0.002013
42,0,Average,0.6,deep_lift,1.0,1.0,0.9819001,-0.0006614999,0.1027,-0.004625,0.001422
42,0,Zeros,0.1,deep_lift,1.0,1.0,0.9709,0.002457,0.12239999,-0.02441,-0.0068719997
42,0,Zeros,0.2,deep_lift,1.0,1.0,0.9667,-0.005657,0.1287,-0.030709999,-0.007241
42,0,Zeros,0.3,deep_lift,1.0,1.0,0.9665,-0.01085,0.1387,-0.0407,-0.005801
42,0,Zeros,0.4,deep_lift,1.0,1.0,0.9663,-0.01394,0.1441,-0.0461,-0.004893
42,0,Zeros,0.5,deep_lift,1.0,1.0,0.9663,-0.01621,0.14709999,-0.049030002,-0.004213
42,0,Zeros,0.6,deep_lift,1.0,1.0,0.9663,-0.017509999,0.1473,-0.04929,-0.003486
42,1,Average,0.1,deep_lift,1.0,1.0,0.9915,7.278e-05,0.09024,-0.001097,0.004265
42,1,Average,0.2,deep_lift,1.0,1.0,0.9896,0.000807,0.09185,-0.002714,0.003776
42,1,Average,0.3,deep_lift,1.0,1.0,0.988,0.001699,0.09354,-0.004398,0.002799
42,1,Average,0.4,deep_lift,1.0,1.0,0.9876,0.002298,0.09456,-0.005425,0.002157
42,1,Average,0.5,deep_lift,1.0,1.0,0.9878,0.002883,0.09556,-0.006419,0.001672
42,1,Average,0.6,deep_lift,1.0,1.0,0.9865,0.003666,0.09726,-0.008119,0.001046
42,1,Zeros,0.1,deep_lift,1.0,1.0,0.9789,0.009389,0.1122,-0.02302,-0.006282
