Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Average,0.3,augmented_occlusion,1.0,1.0,0.9891,0.002356,0.09403,-0.00489,0.001901
42,1,Average,0.4,augmented_occlusion,1.0,1.0,0.9883,0.002918,0.09513,-0.005987,0.001468
42,1,Average,0.5,augmented_occlusion,1.0,1.0,0.9874,0.003445,0.09613,-0.006991,0.001011
42,1,Average,0.6,augmented_occlusion,1.0,1.0,0.9874,0.003773,0.09712,-0.007982,0.0009146
42,1,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9754,0.008991,0.1118,-0.02271,-0.005372
42,1,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9756,0.006904,0.1182,-0.02903,-0.005481
42,1,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9748,0.005319,0.1232,-0.03404,-0.005374
42,1,Zeros,0.4,augmented_occlusion,1.0,1.0,0.9746,0.004053,0.127,-0.03785,-0.005251
42,1,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9743,0.002108,0.1276,-0.0385,-0.004215
42,1,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9746,-0.0001484,0.1274,-0.03831,-0.00311
42,1,Average,0.1,occlusion,1.0,1.0,0.9909,-0.000754,0.08972,-0.0005827,0.005401
42,1,Average,0.2,occlusion,1.0,1.0,0.9896,-0.0004358,0.09082,-0.001676,0.004885
42,1,Average,0.3,occlusion,1.0,1.0,0.9896,-0.0003251,0.09103,-0.001896,0.004659
42,1,Average,0.4,occlusion,1.0,1.0,0.9883,0.0007882,0.09278,-0.003639,0.003575
42,1,Average,0.5,occlusion,1.0,1.0,0.988,0.001604,0.09424,-0.005104,0.002828
42,1,Average,0.6,occlusion,1.0,1.0,0.987,0.002512,0.09571,-0.006569,0.002004
42,1,Zeros,0.1,occlusion,1.0,1.0,0.9765,0.007088,0.1123,-0.0232,-0.004437
42,1,Zeros,0.2,occlusion,1.0,1.0,0.9743,0.003733,0.119,-0.0299,-0.005021
42,1,Zeros,0.3,occlusion,1.0,1.0,0.9746,0.001793,0.1226,-0.03349,-0.005147
42,1,Zeros,0.4,occlusion,1.0,1.0,0.9743,0.0004566,0.1258,-0.0367,-0.004458
42,1,Zeros,0.5,occlusion,1.0,1.0,0.9743,-0.001166,0.1275,-0.03836,-0.003327
42,1,Zeros,0.6,occlusion,1.0,1.0,0.9743,-0.00225,0.1285,-0.03938,-0.002966
42,1,Average,0.1,retain,1.0,1.0,0.992,-0.001729,0.08902,0.0001206,0.007155
42,1,Average,0.2,retain,1.0,1.0,0.9904,-0.001855,0.08957,-0.0004324,0.007176
42,1,Average,0.3,retain,1.0,1.0,0.988,-0.001347,0.09066,-0.001519,0.006351
42,1,Average,0.4,retain,1.0,1.0,0.9878,-0.0011,0.09123,-0.002095,0.005843
42,1,Average,0.5,retain,1.0,1.0,0.9867,-0.0001899,0.09274,-0.003598,0.004895
42,1,Average,0.6,retain,1.0,1.0,0.9878,0.0006042,0.09367,-0.004534,0.003782
